,0,1
201,1.9e-05,6.3e-06
202,8.5e-06,3.76e-06
203,1.526e-05,5.4e-06
204,3.767e-05,1.52e-05
205,1.705e-05,5.36e-06
206,8.64e-06,6.26e-06
207,1.34e-05,4.77e-06
208,2.384e-05,1.055e-05
209,2.843e-05,8.2e-06
210,2.41e-05,7.9e-06
211,1.43e-05,6e-06
212,2.17e-05,7.6e-06
213,1.31e-05,5.5e-06
214,2.986e-05,8.05e-06
215,1.93e-05,7.5e-06
216,2.35e-05,6.4e-06
217,3.4e-05,1.03e-05
218,2.706e-05,9.2e-06
219,1.526e-05,6.26e-06
220,1.37e-05,5.25e-06
221,1.83e-05,6.14e-06
222,1.31e-05,7.03e-06
223,4.43e-05,1.794e-05
224,0.0001343,2.41e-05
225,1.824e-05,6.8e-06
226,2.044e-05,9e-06
227,8.7e-06,5.7e-06
228,2.54e-05,1.01e-05
229,2.223e-05,8.8e-06
230,1.85e-05,8.1e-06
231,2.18e-05,7.75e-06
232,2.02e-05,7e-06
233,2.265e-05,8.34e-06
234,3.666e-05,2.2e-05
235,1.895e-05,6.8e-06
236,1.53e-05,5.84e-06
237,1.49e-05,6.74e-06
238,3.487e-05,1.043e-05
239,1.44e-05,6.8e-06
240,2.164e-05,8.05e-06
241,1.1e-05,7.2e-06
242,2.843e-05,1.07e-05
243,1.967e-05,8e-06
244,1.76e-05,5.8e-06
245,3.8e-05,1.067e-05
246,1.806e-05,5.6e-06
247,1.16e-05,5.54e-06
248,2.4e-05,8.1e-06
249,1.96e-05,8.9e-06
250,1.09e-05,4.8e-06
251,2.01e-05,7.45e-06
252,7.57e-06,5.07e-06
253,8.34e-06,5e-06
254,1.83e-05,7e-06
255,1.69e-05,8.8e-06
256,2.253e-05,8.7e-06
257,1.31e-05,5.66e-06
258,2.337e-05,7.45e-06
259,1.335e-05,7.2e-06
260,1.48e-05,5.3e-06
261,1.85e-05,1.013e-05
262,1.55e-05,6.3e-06
263,1.43e-05,6.5e-06
264,1.42e-05,6.26e-06
265,1.77e-05,6.1e-06
266,3.42e-05,1.246e-05
267,5.75e-05,2.46e-05
268,2.33e-05,8.2e-06
269,3.505e-05,1.013e-05
270,1.174e-05,6.26e-06
271,2.01e-05,7e-06
272,2.82e-05,7.33e-06
273,1.2e-05,5.4e-06
274,2.855e-05,8.94e-06
275,2.2e-05,7.4e-06
276,1.89e-05,6.4e-06
277,3.195e-05,1.174e-05
278,1.556e-05,5.7e-06
279,2.43e-05,1.5e-05
280,1.78e-05,7e-06
281,5.9e-06,3.16e-06
282,1.45e-05,9.66e-06
283,2.57e-05,1.186e-05
284,1.144e-05,4.35e-06
285,1.63e-05,6.8e-06
286,1.556e-05,5.6e-06
287,2.08e-05,1.11e-05
288,1.11e-05,4.65e-06
289,9.36e-06,4.6e-06
290,3.09e-05,9.3e-06
291,2.41e-05,1.264e-05
292,2.52e-05,6.9e-06
293,8.3e-06,4.77e-06
294,1.25e-05,5.7e-06
295,1.18e-05,5.5e-06
296,4.16e-05,1.115e-05
297,1.293e-05,6.8e-06
298,2.36e-05,7e-06
299,1.92e-05,6.8e-06
300,5.18e-05,2.205e-05
301,2.563e-05,7.9e-06
302,1.603e-05,5.5e-06
303,2.46e-05,7.33e-06
304,1.54e-05,6e-06
305,2.07e-05,7.15e-06
306,1.59e-05,5.54e-06
307,2.06e-05,6.85e-06
308,2.47e-05,9.2e-06
309,9.47e-05,2e-05
310,1.21e-05,5.7e-06
311,3.994e-05,1.734e-05
312,1.717e-05,5.8e-06
313,1.657e-05,8.64e-06
314,1.9e-05,6.2e-06
315,1.08e-05,4.7e-06
316,1.436e-05,5.54e-06
317,1.56e-05,6.26e-06
318,1.12e-05,4.8e-06
319,1.45e-05,4.5e-06
320,2.38e-05,1.02e-05
321,1.884e-05,7.3e-06
322,1.55e-05,6.14e-06
323,4.464e-05,1.615e-05
324,9.316e-05,2.843e-05
325,1.5e-05,6.5e-06
326,4.15e-05,1.15e-05
327,2.68e-05,7.8e-06
328,1.35e-05,5.36e-06
329,1.73e-05,7.33e-06
330,2.21e-05,9.6e-06
331,1.44e-05,1.14e-05
332,1.806e-05,7.9e-06
333,3.654e-05,1.82e-05
334,9.8e-06,4e-06
335,2.474e-05,8.76e-06
336,1.03e-05,4.7e-06
337,1.097e-05,5.2e-06
338,1.603e-05,6.8e-06
339,2.26e-05,7.8e-06
340,3.26e-05,1.115e-05
341,1.5e-05,5.36e-06
342,9.54e-06,4.4e-06
343,7.63e-05,1.72e-05
344,1.85e-05,9.06e-06
345,1.94e-05,7.3e-06
346,1.48e-05,5.5e-06
347,7.9e-06,7.2e-06
348,1.19e-05,4.4e-06
349,0.0001228,2.66e-05
350,3.1e-05,1.21e-05
351,3.56e-05,1.01e-05
352,1.025e-05,4.77e-06
353,2.456e-05,1.05e-05
354,1.216e-05,1.174e-05
355,8.595e-05,2.4e-05
356,9.2e-06,5.2e-06
357,2.474e-05,9.8e-06
358,3.165e-05,1.01e-05
